# Japanese decode using Data Crystal Robotrek/Strings JP definitions.
# source fields	raw bytes	decoded text
0x01CC57	005D	C9 C6 C3 C0 BE BB B8 B6 B3 B1 AE AC AA A7 A5 A3 A1 9F 9D 9B 99 97 95 93 92 90 8F 8D 8C 8A 89 88 87 86 85 84 83 83 82 81 81 81 81 81 81 81 81 81 81 81 81 81 81 81 82 83 83 84 85 86 87 88 89 8A 8C 8D 8F 90 92 93 95 97 99 9B 9D 9F A1 A3 A5 A7 AA AC AE B1 B3 B6 B8 BB BE C0 C3 C6 C9	[PAU:C6][PAL:C0][BYTE:BE][BYTE:BB][BYTE:B8][BYTE:B6][BYTE:B3][BYTE:B1][BYTE:AE][BYTE:AC][BYTE:AA][BYTE:A7][BYTE:A5][BYTE:A3][BYTE:A1][BYTE:9F][BYTE:9D][BYTE:9B][BYTE:99][BYTE:97][BYTE:95][BYTE:93][BYTE:92][BYTE:90][BYTE:8F][BYTE:8D][BYTE:8C][BYTE:8A][BYTE:89][BYTE:88][BYTE:87][BYTE:86][BYTE:85][BYTE:84][BYTE:83][BYTE:83]巨關關關關關關關責[BYTE:83][BYTE:84][BYTE:85][BYTE:86][BYTE:87][BYTE:88][BYTE:89][BYTE:8A][BYTE:8C][BYTE:8D][BYTE:8F][BYTE:90][BYTE:92][BYTE:93][BYTE:95][BYTE:97][BYTE:99][BYTE:9B][BYTE:9D][BYTE:9F][BYTE:A1][BYTE:A3][BYTE:A5][BYTE:A7][BYTE:AA][BYTE:AC][BYTE:AE][BYTE:B1][BYTE:B3][BYTE:B6][BYTE:B8][BYTE:BB][BYTE:BE][END][PAL:C6][PAU:]
0x06E4E8	0049	80 31 62 44 5A CD 81 37 6E 4D 3F 63 53 0A D1 44 53 80 79 80 A4 53 80 1C 53 20 C3 02 81 2D 41 59 5D 53 C3 00 67 CD 81 C9 64 45 6E 4D 54 20 42 64 51 0A 65 3D 40 0F CD 20 3F 5E 47 3C 04 80 6C 0D 47 CD 20 5E 4F 44 6E 4A 3C	入りこみ\n困っておるのだ[FIN]この部屋の中の [PAL:02]白きまもの[PAL:00]を\n連れさっては くれぬだろうか?\n おやすいご用です\n やなこったい
0x06EE1F	0100	40 4F 0F D1 E0 08 3C 7E 82 2A 3C 80 8F 6E 4D 81 10 3D 53 54 7E 7E 7E CD C9 3C DC 07 7E 7E 7E 7E 7E 7E 7E 7E 7E 7E 7E 7E 7E 7E 7E 7E CD C9 1E 7E 7E 7E 14 7E C9 1E DC 00 14 40 50 46 4D 63 0A 65 3D 6E 7D DE D7 CD 68 6E 0F C9 1E 4F 68 0A 20 3F 80 01 54 6E 7D C0 D7 E0 08 3B 5E 46 3C 81 2A 5C 6E 7D CD C9 1E 3F 80 01 40 61 20 80 BD 50 82 2A 3C 80 8F 80 54 48 4D 5E 63 CD 58 68 4E 50 58 68 4E 50 20 82 2A 3C 40 61 4F 6E 7D C0 D7 E0 08 55 D4 73 D5 6E 20 3F 5A 49 64 46 59 46 4A 6E 7D CD 4A 46 40 50 20 82 2A 3C 80 8F 80 54 59 46 4A 3B 6E 7D CD 81 3C 14 40 62 54 20 3F 80 9A 43 67 D4 73 D5 6E D1 4F 68 0D 5D 20 3F 80 52 46 46 59 47 40 61 CD 5F 63 46 4D 42 0A 45 3C 6E 7D CD 20 81 46 4A 4B 53 20 80 8F 81 1F 54 4F 68 0A 7D 0F CD 20 81 3E 54 20 0A 59 6E 4D 80 54 53 00 47 53 45	かな?[FIN][E2:083C]·痛い目って言うのは···\n[PAU:3C][NXT]ず················\n[PAU:1E]···ば·[PAU:1E][NXT]がばかにしてるだろうっ![TPL:D7]\nんっ?[PAU:1E]なんだ お前はっ![END][DFT][E2:083B]やしい奴めっ!\n[PAU:1E]お前から 先に痛い目見せてやる\nほんとにほんとに 痛いからなっ![END][DFT][E2:0855][KATAKANA]ー[HIRAGANA]っ おみそれしましたっ!\nたしかに 痛い目見ましたあっ!\n命ばかりは お助けを[KATAKANA]ー[HIRAGANA]っ[FIN]なんでも お話ししますから\nゆるしてくださいっ!\n 君たちの 目的はなんだ!?\n 男は だまって見のがすのさ
0x06F92D	000A	20 20 20 D4 65 44 44 80 99 D5	   [KATAKANA]ロココ町[HIRAGANA]
0x06F955	000C	20 D4 44 6E 40 73 D5 45 68 53 80 55	 [KATAKANA]コッカー[HIRAGANA]さんの家
0x06F962	000D	20 D4 47 4D 61 D5 3F 14 45 68 53 80 55	 [KATAKANA]ステラ[HIRAGANA]おばさんの家
0x06F979	000A	20 20 D4 40 73 63 D5 53 80 55	  [KATAKANA]カール[HIRAGANA]の家
0x06F98E	000C	20 20 80 A5 80 A6 80 A7 80 31 80 A8	  下水路入口
0x06F9A5	000C	20 20 D4 65 44 44 80 99 D5 53 80 A9	  [KATAKANA]ロココ町[HIRAGANA]の港
0x06F9B2	000E	20 D4 56 61 18 53 80 AA 80 AB D5 53 80 55	 [KATAKANA]フラボノ博士[HIRAGANA]の家
0x06F9C1	000B	20 20 80 AC 80 AD 45 68 53 80 55	  漁師さんの家
0x06F9DC	000A	20 20 0E 3D 42 4C 80 31 80 A8	  どうくつ入口
0x06F9EF	000F	20 D4 54 6E 40 73 80 B0 80 65 80 31 80 A8 D5	 [KATAKANA]ハッカー幽地入口[HIRAGANA]
0x06FA08	000D	20 D4 4E 65 6E 44 80 B1 80 B2 80 18 D5	 [KATAKANA]トロッコ停車場[HIRAGANA]
0x06FA33	000C	20 20 80 B7 3C 53 80 5D 80 31 80 A8	  迷いの森入口
0x06FA54	000C	20 80 B8 80 B9 5E 46 41 80 31 80 A8	 幽霊やしき入口
0x06FA73	000A	20 20 20 20 80 65 80 A5 80 A0	    地下室
0x06FA7E	000A	20 20 20 20 80 87 80 04 80 BC	    時計塔
0x06FA89	000C	20 20 80 87 80 04 80 BC 80 31 80 A8	  時計塔入口
0x06FA96	000C	20 04 80 BD 80 BE 80 BF 53 3F 80 C0	 ご先祖樣のお墓
0x06FAA3	000A	20 20 50 66 4E 62 80 C1 80 18	  にわとり農場
0x06FAB8	000A	20 20 20 80 C4 80 C5 53 80 81	   密林の村
0x06FAC3	000A	20 20 20 80 81 80 82 53 80 55	   村長の家
0x06FAD7	000A	20 20 41 4E 3D 80 AD 53 80 55	  きとう師の家
0x06FAEB	0010	20 D4 14 3C 3F 80 39 80 3A 80 3B 80 31 80 A8 D5	 [KATAKANA]バイオ研究所入口[HIRAGANA]
0x06FAFC	000E	20 20 20 D4 14 3C 3F 80 39 80 3A 80 3B D5	   [KATAKANA]バイオ研究所[HIRAGANA]
0x06FB0B	000D	20 20 20 80 39 80 3A 80 3B 80 82 80 A0	   研究所長室
0x06FB2C	000C	20 20 80 39 80 3A 80 9F 80 27 80 A0	  研究開発室
0x06FB39	000C	20 20 80 CD 80 C4 80 39 80 3A 80 3B	  秘密研究所
0x06FB67	000A	20 20 80 CD 80 C4 53 3C 62 3E	  秘密のいりえ
0x06FB7A	000E	20 20 80 65 80 CF 80 27 80 D0 80 0D 80 84	  地震発生裝置
0x06FB89	000C	80 7F 53 80 80 53 4F 68 0D 5D 80 A4	南の島のなんでも屋
0x06FBA0	000C	20 20 80 99 80 82 80 D1 80 D2 80 D3	  町長會受付
0x06FBD4	0012	D4 54 6E 40 73 80 D5 80 1A 80 B0 80 65 80 31 80 A8 D5	[KATAKANA]ハッカー航空幽地入口[HIRAGANA]
0x06FBE7	000F	20 D4 54 6E 40 73 80 D5 80 1A 80 B0 80 65 D5	 [KATAKANA]ハッカー航空幽地[HIRAGANA]
0x06FC01	000F	20 D4 54 6E 40 73 80 0A 80 6E 80 31 80 A8 D5	 [KATAKANA]ハッカー要塞入口[HIRAGANA]
0x06FC11	000C	20 20 D4 54 6E 40 73 80 0A 80 6E D5	  [KATAKANA]ハッカー要塞[HIRAGANA]
0x06FC37	000C	20 20 80 A6 80 A7 80 8B 80 23 80 A0	  水路操作室
0x06FC4E	000A	20 20 40 68 41 68 80 79 80 A4	  かんきん部屋
0x06FC9A	0010	20 80 9C 46 3C 80 59 80 D9 80 DA 80 DB 80 A0 20	 楽しい日本語教室 
0x06FCAB	000A	20 20 20 D4 41 61 61 80 6B D5	   [KATAKANA]キララ星[HIRAGANA]
0x06FCB6	000A	20 20 D4 46 71 44 61 80 6B D5	  [KATAKANA]ショコラ星[HIRAGANA]
0x06FCC1	000D	D4 46 71 44 61 80 6B D5 55 4F 68 80 3B	[KATAKANA]ショコラ星[HIRAGANA]ひなん所
0x06FCCF	000F	20 D4 46 71 44 61 80 6B 80 39 80 3A 80 A0 D5	 [KATAKANA]ショコラ星研究室[HIRAGANA]
0x06FCDF	000F	20 D4 46 71 44 61 80 6B 80 B3 80 B4 80 A0 D5	 [KATAKANA]ショコラ星司令室[HIRAGANA]
0x06FCFF	000D	20 20 D4 5C 4A 63 3B 3C 3B 68 80 DF D5	  [KATAKANA]メタルアイアン号[HIRAGANA]
0x06FD0D	0010	20 20 D4 46 71 44 61 80 6B 80 69 80 6A 80 C2 D5	  [KATAKANA]ショコラ星宇宙船[HIRAGANA]
0x06FD1E	000F	20 D4 54 6E 40 73 80 69 80 6A 80 0A 80 6E D5	 [KATAKANA]ハッカー宇宙要塞[HIRAGANA]
0x06FD38	000C	20 20 80 E1 80 AB 80 E2 80 E3 80 3B	  兵士休息所
0x06FD45	000E	D4 3E 64 17 73 4A 73 80 67 80 32 80 A0 D5	[KATAKANA]エレベーター動力室[HIRAGANA]
0x06FD64	000C	20 20 D4 00 4E 73 D5 53 80 79 80 A4	  [KATAKANA]ガトー[HIRAGANA]の部屋
0x06FD89	000F	20 80 69 80 6A 80 0A 80 6E 80 1C 80 E6 80 79	 宇宙要塞中心部
0x06FDE0	001C	D7 20 42 07 64 4A 80 4A 0D CD 20 80 5F 00 20 56 45 00 64 4D 3C 63 7E 7E 7E 1F D2 C8	[DFT] くずれた岩で\n 道が ふさがれている···˳[WAI][DES]
0x078CA2	0100	14 80 55 53 80 32 00 CD 80 09 80 0A 4F 68 0D 47 60 7D DE D8 E0 02 3D 5B 7E 7E 7E C9 1E 80 CE 50 80 8F 67 4C 43 4A 44 4E 54 CD 58 5C 4D 5E 63 00 20 80 CE 54 80 4C 80 2F 53 80 27 80 14 67 CD 80 42 53 4A 5C 50 20 81 C6 80 6C 47 63 80 89 54 4F 3C D1 59 3B 20 48 6E 40 42 80 10 4A 68 0A 40 61 CD 80 CE 53 80 28 46 3C 20 80 27 80 14 80 8C 67 80 54 48 4D 5E 65 3D CD 44 64 00 20 4F 68 0A 40 66 40 63 40 0F D1 E0 08 7E 7E 7E 58 3F 20 C9 1E D4 61 6E 19 D5 0D 47 40 0F CD 4F 4C 40 46 3C 4F 3B 20 C9 1E 80 CE 20 81 6F 81 C7 53 44 65 CD D4 4E 61 68 1C 6E 4E 80 79 D5 50 80 31 6E 4D 4A 68 0D 47 60 D1 E0 02 4A 0A 53 D4 61 6E 19 D5 4E 54 20 66 43 00 4B 00 3D CD 44 64 54 20 44 3D 5E 6E 4D 80 08 3D 53 0A 1F C0 D8 E0 08 66 D4 73 73 73 73 73 73 73 73 73 73 73 73 D5 6E 7D 7D C9 1E C8	ば家の力が\n必要なんですよ![TPL:D8][E2:023D]む···[PAU:1E]私に目をつけたことは\nほめてやるが 私は自分の発明を\n悪のために 利用する気はない[FIN]まあ せっかく来たんだから\n私の新しい 発明品を見せてやろう\nこれが なんだかわかるか?[FIN][E2:087E]··ほお [PAU:1E][KATAKANA]ラッパ[HIRAGANA]ですか?\nなつかしいなあ [PAU:1E]私 高校のころ\n[KATAKANA]トランペット部[HIRAGANA]に入ってたんですよ[FIN][E2:024A]だの[KATAKANA]ラッパ[HIRAGANA]とは わけがちがう\nこれは こうやって使うのだ˳[END][DF4][E2:0866][KATAKANA]ーーーーーーーーーーーー[HIRAGANA]っ!![PAU:1E][DES]
0x078E83	0100	D5 C3 00 67 46 4D 5E 64 14 CD E0 1A 67 45 61 50 60 42 80 08 3E 63 09 D1 4F 50 0F 45 6E 41 53 80 46 40 0F CD 81 1D 80 F1 20 44 53 80 F1 80 F2 67 3B 61 46 80 0B 6E 4D 3C 63 CD C3 02 D4 54 6E 40 73 D5 C3 00 53 20 80 15 80 16 80 98 45 CD D4 47 40 3D 4E D5 50 41 4A 68 0A 4E 45 D1 0A 00 20 80 27 80 14 54 80 46 53 80 F6 50 80 F9 6E 4D 44 49 CD 80 48 81 87 53 3B 63 5D 53 4F 68 0A 09 CD 80 42 80 6C 4F 09 20 5D 6E 4D 53 81 92 0A CD 3F 59 3E 5D 60 42 20 3F 18 3E 4D 3F 41 4F 45 3C D1 49 3D 49 3D 20 44 64 54 3F 59 3E 50 5E 65 3D CD C3 02 15 6E 42 62 D4 58 73 68 D5 C3 00 4E 81 10 6E 4D CD 80 43 41 4F 80 44 67 80 45 47 20 D4 61 6E 19 D5 0A CD 80 EA 40 20 80 F6 50 4A 4C 44 4E 5D 3B 63 0A 65 3D DE 20 C2 00 54 CD C3 02 20 15 6E 42 62 D4 58 73 68 D5 C3 00 67 20 5D 61 6E 4A 7D	[HIRAGANA][PAL:00]をしてやれば\n[E2:1A67]さらによく使えるぞ[FIN]なに?さっきの人か?\n最近 この近辺をあらし回っている\n[PAL:02][KATAKANA]ハッカー[HIRAGANA][PAL:00]の 戦闘員さ\n[KATAKANA]スカウト[HIRAGANA]にきたんだとさ[FIN]だが 発明は人の役に立ってこそ\n意味のあるものなんだぞ\n悪用なぞ もっての他だ\nおまえもよく おぼえておきなさい[FIN]そうそう これはおまえにやろう\n[PAL:02]びっくり[KATAKANA]ホーン[HIRAGANA][PAL:00]と言って\n大きな音を出す [KATAKANA]ラッパ[HIRAGANA]だ\n何か 役にたつこともあるだろう[TPL:20][NAM:00]は\n[PAL:02] びっくり[KATAKANA]ホーン[HIRAGANA][PAL:00]を もらった!
0x0790A8	0037	D0 80 EA 50 4C 3C 4D 20 81 0E 62 4A 3C 0F CD C9 28 20 80 27 80 14 53 44 4E CD 20 80 03 80 2B 53 44 4E CD 20 D4 65 18 6E 4E D5 53 44 4E CD 20 5E 6E 19 62 20 3C 3C 5E	[CLR]何について 知りたい?\n[PAU:28] 発明のこと\n 合成のこと\n [KATAKANA]ロボット[HIRAGANA]のこと\n やっぱり いいや
0x07A342	0100	7E 3B 20 C9 3C 50 66 4E 62 53 80 00 80 01 0A 43 0E 52 CD C9 1E 00 20 C9 1E 3C 4F 42 4F 6E 4B 59 6E 4A 68 0A 60 7D C0 D7 D4 40 D5 7E C9 1E D4 40 4E 62 73 51 D5 6B 6E 7D 7D 7D CD 0E 44 50 80 1E 6E 4D 4A 68 0A 3B 6E 7D CD 4E 4D 5D 20 80 E6 81 64 46 4A 68 0A 09 6D 6E 7D 7D D1 81 46 00 20 80 54 4C 43 4D 42 64 4A 53 40 0F CD 3B 62 00 4E 3D 7D CD 49 3D 0A 7D 80 EA 40 81 28 67 45 48 4D 42 64 7D DE D7 80 2D 4B 80 6D 00 20 3C 6E 19 3C 53 60 3D 0A 52 CD 50 5D 4C 53 81 3A 4F 3C 80 87 50 CD 59 4A 20 08 55 20 80 10 4D 42 64 7D C0 D7 44 64 54 20 44 53 3B 3C 0A CD D4 40 4E 62 73 51 D5 00 20 0E 44 40 61 40 CD 55 65 6E 4D 41 4A 68 0A CD 44 64 67 81 46 50 20 3F 81 28 4E 46 4D 3B 03 60 3D 7D D1 20 C2 00 54 CD C3 02 20 D4 1B 61 07 59 16 64 3C 0E D5 C3 00 67 20 3C 4A 0A 3C 4A 7D	·あ [PAU:3C]にわとりの名前だけどね\n[PAU:1E]が [PAU:1E]いなくなっちまったんだよ![END][DFT][KATAKANA]カ[HIRAGANA]·[PAU:1E][KATAKANA]カトリーヌ[HIRAGANA]ぅっ!!!\nどこに行ってたんだあっ!\nとても 心配したんだぞぉっ!![FIN]君が 見つけてくれたのか?\nありがとう!\nそうだ!何か礼をさせてくれ![TPL:D7]持ち物が いっぱいのようだね\nにもつの少ない時に\nまた ぜひ 来てくれ![END][DFT]これは このあいだ\n[KATAKANA]カトリーヌ[HIRAGANA]が どこからか\nひろってきたんだ\nこれを君に お礼としてあげよう![FIN] [NAM:00]は\n[PAL:02] [KATAKANA]プラズマブレイド[HIRAGANA][PAL:00]を いただいた!
0x07E7CA	0100	44 7E 7E 7E 53 7E 7E 7E 40 17 5D CD 44 7E 7E 7E 66 45 4F 7E 7E 7E 3C 7E 7E 7E 4E CD 7E 7E 3D 7E 46 7E 65 7E 45 00 7E 7E 6E 4D 1F C0 D7 7E 7E 7E 3B 3C 4A 7E 7E 7E 60 3D 0A CD 45 7E 45 3B 20 80 1E 44 3D 1F C0 D7 DC 04 7E 7E 7E 5D 3D D4 0A 5C D5 7E 7E 7E 0A CD D4 3E 52 63 01 73 D5 00 7E 7E 7E 4F 42 4F 6E 4A CD 0A 00 7E 7E 7E 59 50 3B 6E 4D 60 40 6E 4A D1 7E 7E 7E 0D 41 63 44 4E 4F 61 7E 7E 7E CD D4 47 42 61 6E 1B D5 4E 4F 63 20 D4 66 4A 46 D5 53 7E 7E 7E CD 40 43 61 0D 5D 7E 7E 7E 55 65 6E 4D 42 64 CD D4 41 5A D5 67 20 80 54 80 E9 64 63 D1 3B 4E 53 44 4E 54 7E 7E 7E 4A 53 5B CD C3 02 D4 61 47 42 D5 C3 00 45 59 53 7E 7E 7E 80 48 82 3B 67 CD 7E 7E 7E 4C 3C 0D 42 64 1F DC 00 C0 D7 20 C2 00 54 CD C3 02 20 D4 47 42 61 6E 1B D5 21 C3 00 67 20 80 36 50 80 31 64 4A 7D	こ···の···かべも\nこ···わさな···い···と\n··う·し·ろ·さが··って˳[END][DFT]···あいた···ようだ\nさ·さあ 行こう˳[END][DFT][NXT]ご···もう[KATAKANA]ダメ[HIRAGANA]···だ\n[KATAKANA]エネルギー[HIRAGANA]が···なくなった\nだが···まにあってよかった[FIN]···できることなら···\n[KATAKANA]スクラップ[HIRAGANA]となる [KATAKANA]ワタシ[HIRAGANA]の···\nかけらでも···ひろってくれ\n[KATAKANA]キミ[HIRAGANA]を 見守れる[FIN]あとのことは···たのむ\n[PAL:02][KATAKANA]ラスク[HIRAGANA][PAL:00]さまの···意志を\n···ついでくれ˳[NXT]が[END][DFT] [NAM:00]は\n[PAL:02] [KATAKANA]スクラップ[HIRAGANA]A[PAL:00]を 手に入れた!
0x0882CF	007E	3B 63 68 0A 00 52 D1 49 44 50 80 99 80 82 00 20 C3 02 57 49 42 62 C3 00 67 CD 40 42 46 4D 3C 63 68 0A CD 4F 50 20 0E 3D 48 D4 66 3C 65 D5 53 81 06 45 CD 81 46 00 20 81 47 80 4E 50 80 08 6E 4D 42 64 1F C0 81 46 00 20 D4 65 44 44 80 99 D5 53 80 F8 80 62 67 CD 47 42 6E 4D 42 64 4A 68 0A 52 CD 0E 3D 5D 3B 62 00 4E 3D CD 81 46 54 20 80 BD 00 80 9C 46 5A 4F 81 35 81 26 0A 4F 3B 1F	あるんだがね[FIN]そこに町長が [PAL:02]へそくり[PAL:00]を\nかくしているんだ\nなに どうせ[KATAKANA]ワイロ[HIRAGANA]の金さ\n君が 有効に使ってくれ˳[END]君が [KATAKANA]ロココ町[HIRAGANA]の危機を\nすくってくれたんだね\nどうもありがとう\n君は 先が楽しみな若者だなあ˳
0x088FF4	0100	54 81 41 3C 4D 63 60 CD 46 40 46 C3 02 80 B3 80 B4 80 BC C3 00 50 54 20 80 1A 40 61 46 40 CD 80 1E 42 44 4E 00 0D 41 4F 3C 4E 3C 3D 46 4F 3B D1 3F 06 45 68 50 5D 20 81 02 81 03 00 3C 4D 52 CD C3 02 D4 40 73 63 D5 C3 00 6E 4D 80 00 80 01 4F 68 0A 43 0E 52 CD 0A 40 61 20 41 5A 53 80 89 80 2D 4B 54 66 40 63 60 CD 4F 68 4E 40 46 4D 3B 03 4A 3C 4F 3B 1F C0 D7 3E 0F C3 02 D4 40 73 63 D5 C3 00 67 81 0E 6E 4D 63 6E 4D 0F CD 49 3D 40 20 41 5A 5D D4 65 44 44 80 99 D5 53 80 46 4F 53 40 CD D4 40 73 63 D5 54 20 80 85 80 89 50 46 4D 4A 40 3C 0F CD 40 3B 45 68 67 20 44 59 61 48 4D 4F 3C 40 3C 0F D1 49 3D 0A 20 D4 40 73 63 D5 50 C3 02 4D 00 5A C3 00 67 80 38 42 40 61 CD 66 4A 46 4D 5D 61 3E 4F 3C 0A 65 3D 40 0F CD 20 3F 5E 47 3C 04 80 6C 0D 47 CD 20 3F 44 4E 66 62 46 59 47	は聞いてるよ\nしかし[PAL:02]司令塔[PAL:00]には 空からしか\n行くことができないというしなあ[FIN]おじさんにも 子供がいてね\n[PAL:02][KATAKANA]カール[HIRAGANA][PAL:00]って名前なんだけどね\nだから きみの気持ちはわかるよ\nなんとかしてあげたいなあ˳[END][DFT]え?[PAL:02][KATAKANA]カール[HIRAGANA][PAL:00]を知ってるって?\nそうか きみも[KATAKANA]ロココ町[HIRAGANA]の人なのか\n[KATAKANA]カール[HIRAGANA]は 元気にしてたかい?\nかあさんを こまらせてないかい?[FIN]そうだ [KATAKANA]カール[HIRAGANA]に[PAL:02]てがみ[PAL:00]を書くから\nわたしてもらえないだろうか?\n おやすいご用です\n おことわりします
0x0890F5	00EA	D0 49 3D 40 7D 60 40 6E 4A 7D CD 47 02 50 80 38 42 40 61 20 4B 71 6E 4E 0A 43 CD 49 44 0D 20 81 1C 6E 4D 4D 42 64 C0 D7 7E 7E 7E 46 40 46 20 81 46 54 CD 5D 4B 5D 53 00 20 3C 6E 19 3C 53 60 3D 0A 52 CD 47 59 4F 3C 00 20 80 36 80 76 67 66 4A 48 63 60 3D CD 50 5D 4C 67 20 57 61 46 4D 42 64 4F 3C 40 0F C0 D0 7E 7E 7E 49 3D 40 CD 5E 6E 4E 20 D4 40 73 63 D5 4E 64 68 61 42 00 CD 4E 64 63 4E 80 7A 6E 4A 53 50 7E 7E 7E 1F C0 D7 45 6E 41 54 3B 41 61 5C 4A 00 CD D4 40 73 63 D5 4E 20 0E 3D 50 40 64 68 61 42 67 CD 4E 62 4A 3C 68 0A 7E 7E 7E D1 D4 40 73 63 D5 50 C3 02 4D 00 5A C3 00 67 80 38 42 40 61 CD 66 4A 46 4D 5D 61 3E 4F 3C 0A 65 3D 40 0F CD 20 3F 5E 47 3C 04 80 6C 0D 47 CD 20 3F 44 4E 66 62 46 59 47	[CLR]そうか!よかった!\nすぐに書くから ちょっとだけ\nそこで 待っててくれ[END][DFT]···しかし 君は\nもちものが いっぱいのようだね\nすまないが 手紙をわたせるよう\nにもつを へらしてくれないか?[END][CLR]···そうか\nやっと [KATAKANA]カール[HIRAGANA]とれんらくが\nとれると思ったのに···˳[END][DFT]さっきはあきらめたが\n[KATAKANA]カール[HIRAGANA]と どうにかれんらくを\nとりたいんだ···[FIN][KATAKANA]カール[HIRAGANA]に[PAL:02]てがみ[PAL:00]を書くから\nわたしてもらえないだろうか?\n おやすいご用です\n おことわりします
0x08927E	0100	3E 6E 4E 7E 7E 7E CD C9 3C C3 02 D4 40 73 63 D5 20 57 CD 80 85 80 89 50 46 4D 3C 59 47 40 0F CD 81 51 50 3C 4F 42 4F 6E 4D 20 04 5C 68 4F 45 3C D1 4E 3D 45 68 54 20 80 42 3C 80 46 4A 4B 50 CD 45 61 66 64 4D 20 81 09 80 56 67 45 48 61 64 4D 59 47 CD 3F 80 01 5E 20 40 3B 45 68 53 44 4E 00 CD 80 89 00 40 62 0D 20 46 40 4A 3B 62 59 48 68 D1 3C 4C 80 EF 64 63 40 20 66 40 62 59 48 68 00 CD 3F 80 01 54 20 81 3E 53 81 02 4F 53 0A 40 61 CD 80 55 5E 40 3B 45 68 53 44 4E 67 4A 53 5A 59 47 1F CD 20 20 20 20 20 20 20 20 20 20 20 20 20 81 9E 60 62 C3 00 C0 D7 06 6F 3B 20 44 53 80 36 80 76 67 CD 4A 53 5A 59 47 CD 81 46 5D 20 80 43 80 50 4F 80 87 0A 65 3D 50 CD 66 00 59 59 81 10 6E 4D 20 47 59 4F 3C 52 1F D1 CD 20 C2 00 54 CD C3 02 20 4D 00 5A C3 00 67 20 3D 43 4E 6E 4A 7D	えっと···\n[PAU:3C][PAL:02][KATAKANA]カール[HIRAGANA] へ\n元気にしていますか?\n急にいなくなって ごめんなさい[FIN]とうさんは 悪い人たちに\nさらわれて 仕事をさせられてます\nお前や かあさんのことが\n気がかりで しかたありません[FIN]いつ帰れるか わかりませんが\nお前は 男の子なのだから\n家やかあさんのことをたのみます˳\n             父より[PAL:00][END][DFT]じゃあ この手紙を\nたのみます\n君も 大変な時だろうに\nわがまま言って すまないね˳[FIN]\n [NAM:00]は\n[PAL:02] てがみ[PAL:00]を うけとった!
0x089B72	0100	02 02 85 0D 01 01 02 98 02 86 0D 03 01 02 98 02 85 0D 0A 02 02 98 02 0A E3 80 02 33 50 FF 02 B2 6B 02 1D 1C 9C 02 33 50 FF 4C F8 9A 02 CF 37 9B 88 6B D7 47 5A 59 48 68 20 0A 68 4F CD 3B 6E 46 54 20 0A 68 4F 53 44 4E 00 CD 80 E6 81 64 0D 80 E6 81 64 0D 7E 7E 7E 0D 5D 20 40 3E 6E 4D CD 82 0A 80 36 59 4E 3C 50 4F 6E 4B 59 3C 59 46 4A 52 D1 49 3D 49 3D 20 44 64 67 CD 45 46 3B 03 60 3D 4E 80 7A 3C 59 46 4D 7E 7E 7E CD 3B 6E 46 00 20 80 78 80 79 80 87 81 67 50 CD 80 08 6E 4D 3C 4A 5D 68 4F 68 0D 47 43 0E 52 DE D7 7E 7E 7E 4E 20 80 7A 6E 4A 61 CD 50 5D 4C 00 20 3C 6E 19 3C 53 60 3D 0D 47 52 CD 50 5D 4C 54 20 4C 52 55 04 65 40 61 CD 81 78 0C 43 4F 3C 4E 20 3C 43 59 48 68 08 1F C0 D7 20 C2 00 54 CD C3 02 20 40 68 16 D4 14 6E 4B D5 C3 00 67 20 80 36 50 80 31 64 4A 7D	ぐぐ[BYTE:85]でぎぎぐ[BYTE:98]ぐ[BYTE:86]でげぎぐ[BYTE:98]ぐ[BYTE:85]でだぐぐ[BYTE:98]ぐだ[CMD:E3]技Sに[CMD:FF]ぐ[BYTE:B2]ぅぐぽぺ[BYTE:9C]ぐSに[CMD:FF]つ[CMD:F8][BYTE:9A]ぐ[STR:379B88]ぅ[DFT]すみません だんな\nあっしは だんなのことが\n心配で心配で···でも かえって\n足手まといになっちまいましたね[FIN]そうそう これを\nさしあげようと思いまして···\nあっしが 幹部時代に\n使っていたもんなんですけどね[TPL:D7]···と 思ったら\nにもつが いっぱいのようですね\nにもつは つねひごろから\n片づけないと いけませんぜ˳[END][DFT] [NAM:00]は\n[PAL:02] かんぶ[KATAKANA]バッチ[HIRAGANA][PAL:00]を 手に入れた!
